El único viaje imposible es el que nunca empiezas.|Tony Robbins
Sé más fuerte que tu excusa más fuerte.|Anónimo
No se trata de la perfección. Se trata del esfuerzo.|Jillian Michaels
Cuando dudes, elige el camino de la disciplina.|Anónimo
La recuperación es un regalo que te das a ti mismo todos los días.|Anónimo
La verdadera fuerza es mantenerse firme cuando todos esperan que te desmorones.|Anónimo
No dejes que lo que no puedes hacer interfiera con lo que puedes hacer.|John Wooden
El sol siempre vuelve a brillar después de la tormenta.|Proverbio
Tu mejor maestro es tu último error.|Ralph Nader
Cada recuperación de una adicción comienza con la esperanza.|Anónimo
La paciencia y la perseverancia tienen un efecto mágico ante el cual las dificultades desaparecen.|John Quincy Adams
El coraje es la resistencia al miedo, el dominio del miedo, no la ausencia de miedo.|Mark Twain
No importa cuántas veces hayas fallado. Solo necesitas tener razón una vez.|Mark Cuban
Si quieres volar, tienes que renunciar a las cosas que te pesan.|Toni Morrison
La recuperación no es un evento aislado. Es un estilo de vida.|Anónimo
El carácter es la capacidad de llevar a cabo una buena resolución mucho después de que la emoción del momento haya pasado.|Cavett Robert
La serenidad no es estar libre de la tormenta, sino estar en paz dentro de la tormenta.|Anónimo
La recuperación es el acto de reclamar tu vida.|Anónimo
La victoria es más dulce cuando has conocido la derrota.|Malcolm S. Forbes
La vida es como andar en bicicleta. Para mantener el equilibrio, debes seguir moviéndote.|Albert Einstein
El progreso, no la perfección, es lo que buscamos.|Lema de recuperación
El primer deber del hombre es conquistarse a sí mismo.|Anónimo
Una mente negativa nunca te dará una vida positiva.|Anónimo
No dejes que la vergüenza te impida pedir ayuda.|Anónimo
La recuperación te enseña a vivir en el presente.|Anónimo
La adicción te dice que no puedes. La recuperación te dice que sí puedes.|Anónimo
El valor real es cuando sabes que estás vencido, pero sigues adelante de todos modos.|James E. Faust
La única diferencia entre un buen día y un mal día es tu actitud.|Dennis S. Brown
La curación es un arte. Lleva tiempo, lleva práctica, lleva amor.|M.D.
No eres la oscuridad por la que has pasado. Eres la luz que ha sobrevivido.|Anónimo
El que tiene un porqué para vivir puede soportar casi cualquier cómo.|Friedrich Nietzsche
"La rendición no es debilidad; es el comienzo de la recuperación.|Anónimo"
Tu adicción no te define. Tu recuperación sí.|Anónimo
El mayor placer de la vida es hacer lo que la gente dice que no puedes hacer.|Walter Bagehot
La recuperación es un acto de rebelión contra la adicción.|Anónimo
La sobriedad es la nueva felicidad.|Anónimo
Cada día sobrio es una victoria.|Anónimo
No te rindas. El principio es siempre lo más difícil.|Anónimo
Conviértete en la persona que necesitabas cuando estabas sufriendo.|Anónimo
El futuro tiene muchos nombres. Para los débiles, es lo inalcanzable. Para los temerosos, lo desconocido. Para los valientes, es la oportunidad.|Victor Hugo
La disciplina es simplemente elegir entre lo que quieres ahora y lo que más quieres.|Anónimo
Estás a una decisión de distancia de una vida completamente diferente.|Anónimo
No dejes que tu lucha se convierta en tu identidad.|Anónimo
La recuperación es el proceso de volver a ser tú mismo.|Anónimo
El secreto del cambio es enfocar toda tu energía, no en luchar contra lo viejo, sino en construir lo nuevo.|Sócrates (popularizado por Dan Millman)
